Course name,Campus,"Course code","Fee type", Duration,"Prev LSR","Avail INT"
Bachelor of Psychological Science,Strathfield (Mount St Mary),103313,CSP,3F/EqP,58.50,Y
Bachelor of Psychological Science/Bachelor of Arts,Strathfield (Mount St Mary),103718,CSP,4F/EqP,61.55,Y
Bachelor of Psychological Science/Bachelor of Commerce,Strathfield (Mount St Mary),103719,CSP,4F/EqP,60.00,Y
Bachelor of Psychological Science/Bachelor of Criminology and Criminal Justice,North Sydney (MacKillop),103733,CSP,4F/EqP,new,Y
Bachelor of Psychological Science/Bachelor of Criminology and Criminal Justice,Strathfield (Mount St Mary),103732,CSP,4F/EqP,new,Y
Bachelor of Psychological Science/Bachelor of Exercise and Sports Science,Strathfield (Mount St Mary),103720,CSP,4F/EqP,65.00,Y
Bachelor of Psychological Science/Bachelor of Laws,North Sydney (MacKillop),103714,CSP,5F/EqP,75.90,Y
Bachelor of Psychological Science/Bachelor of Nutrition Science,Blacktown,103730,CSP,4F/EqP,new,Y
Bachelor of Psychological Science/Bachelor of Nutrition Science,Strathfield (Mount St Mary),103731,CSP,4F/EqP,new,Y
Bachelor of Psychology (Honours),Strathfield (Mount St Mary),103721,CSP,4F/EqP,85.15,Y
Bachelor of Social Work,Canberra (Signadou),103202,CSP,4F/EqP,58.55,Y
Bachelor of Social Work,Strathfield (Mount St Mary),103203,CSP,4F/EqP,58.75,Y
Bachelor of Speech Pathology,North Sydney (MacKillop),105514,CSP,4F,88.25,Y
Bachelor of Theology,Canberra (Signadou),103903,CSP,3F/EqP,N/A,N
Bachelor of Theology,Strathfield (Mount St Mary),103904,CSP,3F/EqP,58.55,Y
Bachelor of Theology/Bachelor of Global Studies,Strathfield (Mount St Mary),103905,CSP,4F/EqP,79.15,Y
Bachelor of Theology/Bachelor of Laws,North Sydney (MacKillop),107005,CSP,5F/EqP,N/A,Y
Bachelor of Theology/Bachelor of Philosophy,Strathfield (Mount St Mary),107013,CSP,4F/EqP,62.20,Y
Bachelor of Theology/Bachelor of Philosophy,Canberra (Signadou),107015,CSP,4F/EqP,83.00,N
Bachelor of Visual Arts and Design,Strathfield (Mount St Mary),103304,CSP,3F/EqP,59.80,Y
Bachelor of Youth Work,Blacktown,103204,CSP,3F/EqP,62.00,Y
Diploma in Biomedical Science,North Sydney (MacKillop),109955,CSP,1F/2P,52.60,Y
Diploma in Business,North Sydney (MacKillop),109940,CSP,1F/2P,52.40,Y
Diploma in Business,Blacktown,109941,CSP,1F/2P,50.10,Y
Diploma in Criminology,Blacktown,109900,CSP,1F/2P,new,Y
Diploma in Criminology,North Sydney (MacKillop),109901,CSP,1F/2P,new,Y
Diploma in Exercise Science,Blacktown,109946,CSP,1F/2P,51.50,Y
Diploma in Information Technology,North Sydney (MacKillop),109960,CSP,1F/2P,51.20,Y
Diploma in Information Technology,Blacktown,109961,CSP,1F/2P,N/A,N
Diploma in Languages,Online,109920,CSP,2P,59.40,N
Diploma in Nutritional Science,North Sydney (MacKillop),109950,CSP,1F/2P,55.05,Y
Diploma in Nutritional Science,Blacktown,109951,CSP,1F/2P,50.10,Y
Foundation Studies,Blacktown,109981,CSP,1F,N/A,N


Bachelor of Accounting,Canberra,133503 CSP,3F/6P,N/A,Y
Bachelor of Actuarial Studies,Canberra,134403 CSP,3F/6P,96.10,Y
Bachelor of Advanced Computing (Honours),Canberra,135705 CSP,4F/8P,85.50,Y
Bachelor of Advanced Computing (Research & Development) (Honours),Canberra,135700 CSP,4F/8P,99.10,Y
Bachelor of Applied Data Analytics,Canberra,135801 CSP,3F/6P,95.75,Y
Bachelor of Art History and Curatorship,Canberra,131100 CSP,3F/6P,91.70,Y
Bachelor of Arts,Canberra,131003 CSP,3F/6P,80.05,Y
Bachelor of Asia-Pacific Affairs,Canberra/Japan,132006 CSP,4F/8P,83.95,N
Bachelor of Asian Studies,Canberra,132005 CSP,3F/6P,80.00,Y
Bachelor of Biotechnology,Canberra,138503 CSP,3F/6P,89.50,Y
Bachelor of Business Administration,Canberra,133403 CSP,3F/6P,80.05,Y
Bachelor of Commerce,Canberra,133003 CSP,3F/6P,80.35,Y
Bachelor of Computing,Canberra,136062 CSP,3F/6P,new,Y
Bachelor of Criminology,Canberra,131150 CSP,3F/6P,80.20,Y
Bachelor of Design,Canberra,139103 CSP,3F/6P,N/A,Y
Bachelor of Economics,Canberra,134003 CSP,3F/6P,80.15,Y
Bachelor of Engineering (Honours),Canberra,135004 CSP,4F/8P,85.85,Y
Bachelor of Engineering (Honours) in Software Engineering,Canberra,135005 CSP,4F/8P,85.60,Y
Bachelor of Engineering (Research and Development) (Honours),Canberra,135000 CSP,4F/8P,98.80,Y
Bachelor of Environment and Sustainability,Canberra,138201 CSP,3F/6P,83.85,Y
Bachelor of Environment and Sustainability (Advanced) (Honours),Canberra,138202 CSP,4F/8P,97.35,Y
Bachelor of Finance,Canberra,133203 CSP,3F/6P,82.75,Y
Bachelor of Finance Economics and Statistics (Honours),Canberra,134300 CSP,4F/8P,99.15,Y
Bachelor of Genetics,Canberra,138600 CSP,3F/6P,90.45,Y
Bachelor of Health Science,Canberra,138302 CSP,3F/6P,N/A,Y
Bachelor of International Business,Canberra,133303 CSP,3F/6P,88.70,Y
Bachelor of International Relations,Canberra,131153 CSP,3F/6P,87.00,Y
Bachelor of International Security Studies,Canberra,132105 CSP,3F/6P,88.40,Y
Bachelor of Languages,Canberra,131193 CSP,3F/6P,81.50,Y
Bachelor of Laws (Honours),Canberra,137004 CSP,4F/8P,99.95,Y
Bachelor of Mathematical Sciences,Canberra,138200 CSP,3F/6P,99.95,Y
Bachelor of Medical Science,Canberra,138403 CSP,3F/6P,87.05,Y
Bachelor of Music,Canberra,139114 CSP,3F/6P,81.70,Y
Bachelor of Pacific Studies,Canberra,132333 CSP,3F/6P,N/A,Y
Bachelor of Philosophy (Honours) – Humanities and Social Sciences,Canberra,132001 CSP,4F/8P,N/A,Y
Bachelor of Philosophy (Honours) – Science,Canberra,138000 CSP,4F/8P,N/A,Y


"Bachelor of Political Science",Canberra,131162,CSP,3F/6P,85.60,Y
"Bachelor of Politics, Philosophy and Economics",Canberra,131161,CSP,3F/6P,94.70,Y
"Bachelor of Psychology (Honours)",Canberra,138130,CSP,4F/8P,91.15,Y
"Bachelor of Public Policy",Canberra,131159,CSP,3F/6P,99.55,Y
"Bachelor of Science",Canberra,138003,CSP,3F/6P,80.25,Y
"Bachelor of Science (Advanced) (Honours)",Canberra,138004,CSP,4F,91.15,Y
"Bachelor of Science (Psychology)",Canberra,138123,CSP,3F/6P,80.55,Y
"Bachelor of Statistics",Canberra,134200,CSP,3F/6P,N/A,Y
"Bachelor of Visual Arts",Canberra,139104,CSP,3F/6P,N/A,Y
"Diploma of Languages",Canberra,130015,CSP,1F/2P,90.55,N
"Flexible Double Arts   Social Sciences   Business and Science",Canberra,130010,CSP,4F/8P,82.15,Y
"Flexible Double Engineering and Advanced Computing",Canberra,135010,CSP,5F/10P,91.40,Y
Bachelor of Political Science,Canberra,131162,CSP,3F/6P,85.60,Y
Bachelor of Politics, Philosophy and Economics,Canberra,131161,CSP,3F/6P,94.70,Y
Bachelor of Psychology (Honours),Canberra,138130,CSP,4F/8P,91.15,Y
Bachelor of Public Policy,Canberra,131159,CSP,3F/6P,99.55,Y
Bachelor of Science,Canberra,138003,CSP,3F/6P,80.25,Y
Bachelor of Science (Advanced) (Honours),Canberra,138004,CSP,4F,91.15,Y
Bachelor of Science (Psychology),Canberra,138123,CSP,3F/6P,80.55,Y
Bachelor of Statistics,Canberra,134200,CSP,3F/6P,N/A,Y
Bachelor of Visual Arts,Canberra,139104,CSP,3F/6P,N/A,Y
Diploma of Languages,Canberra,130015,CSP,1F/2P,90.55,N
Flexible Double Arts   Social Sciences   Business and Science,Canberra,130010,CSP,4F/8P,82.15,Y
Flexible Double Engineering and Advanced Computing,Canberra,135010,CSP,5F/10P,91.40,Y


Associate Degree of Engineering (Civil and Structural),Casuarina or Online,592060,CSP,2F/EqP/D,N/A,Y,
Associate Degree of Engineering (Electrical and Electronics),Casuarina or Online,592070,CSP,2F/EqP/D,N/A,Y,
Associate Degree of Engineering (Mechanical),Casuarina or Online,592080,CSP,2F/EqP/D,N/A,Y,
Associate Degree of Exercise and Sport Science,Casuarina or Online,592090,CSP,2F/EqP/D,N/A,Y,
Associate Degree of Information and Communication Technology,Casuarina or Online,592030,CSP,2F/EqP/D,N/A,Y,
Associate Degree of Legal Studies,Waterfront Darwin or Online,592041,CSP,2F/EqP/D,N/A,Y,
Associate Degree of Network Engineering,Casuarina or Online,592050,CSP,2F/EqP/D,N/A,Y,
"Bachelor of  Engineering Science (Electrical and Electronics)/Master
of Engineering",Casuarina or Online,590150,CSP,5F/EqP/D,N/A,Y,
Bachelor of  Engineering Science (Mechanical)/Master of Engineering,Casuarina or Online,590160,CSP,5F/EqP/D,N/A,Y,
"Bachelor of Engineering Science (Civil and Structural)/Master of
Engineering",Casuarina or Online,590140,CSP,5F/EqP/D,N/A,Y,
Bachelor of  Health Science/Master of Nutrition,Casuarina or Online,590180,CSP,4F/EqP/D,N/A,Y,
Bachelor of Accounting,Waterfront Darwin or Online,590701,CSP,3F/EqP/D,N/A,Y,
Bachelor of Accounting/Diploma of Laws,Waterfront Darwin or Online,590721,CSP,3F/EqP/D,N/A,Y,
Bachelor of Arts (Architectural Design),Casuarina or Online,590620,CSP,3F/EqP/D,64.45,Y,
"Bachelor of Arts (Communications, Literature and Digital Media)",Casuarina or Online,590630,CSP,3F/EqP/D,N/A,Y,
Bachelor of Arts (Contemporary Indigenous Australia),Casuarina or Online,590680,CSP,3F/EqP/D,N/A,Y,
Bachelor of Arts (Creative and Digital Arts),Casuarina or Online,590640,CSP,3F/EqP/D,88.55,Y,
Bachelor of Arts (Global Humanities in a Digital Age),Casuarina or Online,590650,CSP,3F/EqP/D,N/A,Y,
Bachelor of Arts (Indigenous Governance and Policy),Casuarina or Online,590690,CSP,3F/EqP/D,N/A,Y,
Bachelor of Arts (Languages and Linguistics),Casuarina or Online,590670,CSP,3F/EqP/D,N/A,Y,
"Bachelor of Arts (Music Making, Production and Performance)",Casuarina or Online,590660,CSP,3F/EqP/D,N/A,Y,
Bachelor of Arts (Society and Culture),Casuarina or Online,590610,CSP,3F/EqP/D,N/A,Y,
Bachelor of Biomedical Science,Casuarina,590580,CSP,3F/EqP/D,68.80,Y,
Bachelor of Business,Waterfront Darwin or Online,590481,CSP,3F/EqP/D,75.50,Y,
"Bachelor of Business (Entrepreneurship and Innovation and Strategic
Marketing and Communication)",Waterfront Darwin or Online,590541,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (Entrepreneurship and Innovation),Waterfront Darwin or Online,590511,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (Hospitality Management),Waterfront Darwin or Online,590591,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (Human Resource Management),Waterfront Darwin or Online,590561,CSP,3F/EqP/D,N/A,Y,
"Bachelor of Business (International Management and Logistics and
Entrepreneurship and Innovation)",Waterfront Darwin or Online,590531,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (International Management and Logistics),Waterfront Darwin or Online,590501,CSP,3F/EqP/D,61.30,Y,
Bachelor of Business (Project Management),Waterfront Darwin or Online,590571,CSP,3F/EqP/D,N/A,Y,
"Bachelor of Business (Strategic Marketing and Communication and
International Management and Logistics)",Waterfront Darwin or Online,590521,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (Strategic Marketing and Communication),Waterfront Darwin or Online,590491,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (Tourism and Destination Management),Waterfront Darwin or Online,590551,CSP,3F/EqP/D,N/A,Y,
Bachelor of Business (Workplace Health and Safety),Waterfront Darwin or Online,590581,CSP,3F/EqP/D,N/A,Y,
Bachelor of Computer Science,Casuarina or Online,590260,CSP,3F/EqP/D,65.90,Y,
Bachelor of Digital Enterprise,Waterfront Darwin or Online,590281,CSP,3F/EqP/D,N/A,Y,
Bachelor of Education in Early Childhood Teaching (Birth-12 Years),Casuarina or Online,590290,CSP,4F/EqP/D,61.80,Y,
Bachelor of Education Primary,Casuarina or Online,590300,CSP,4F/EqP/D,66.60,Y,
Bachelor of Education Secondary,Casuarina or Online,590310,CSP,4F/EqP/D,80.90,Y,
Bachelor of Engineering Honours (Civil and Structural),Casuarina or Online,590200,CSP,4F/EqP/D,88.35,Y,
Bachelor of Engineering Honours (Electrical and Electronics),Casuarina or Online,590210,CSP,4F/EqP/D,N/A,Y,
Bachelor of Engineering Honours (Mechanical),Casuarina or Online,590220,CSP,4F/EqP/D,74.55,Y,


Bachelor of Engineering Science (Civil and Structural),Casuarina or Online,590320,CSP,3F/EqP/D,N/A,Y,
Bachelor of Engineering Science (Electrical and Electronics),Casuarina or Online,590330,CSP,3F/EqP/D,N/A,Y,
Bachelor of Engineering Science (Mechanical),Casuarina or Online,590340,CSP,3F/EqP/D,N/A,Y,
Bachelor of Environmental Science,Casuarina or Online,590450,CSP,3F/EqP/D,65.35,Y,
Bachelor of Exercise and Sport Science,Casuarina or Online,590590,CSP,3F/EqP/D,N/A,Y,
Bachelor of Exercise and Sport Science/Master of Nutrition,Casuarina or Online,590730,CSP,4F/8P/D,N/A,Y,
Bachelor of Health Science,Casuarina or Online,590350,CSP,3F/EqP/D,N/A,Y,
Bachelor of Health Services Management,Casuarina or Online,590360,CSP,3F/EqP/D,N/A,Y,
Bachelor of Humanitarian Aid and Development,Casuarina or Online,590460,CSP,3F/EqP/D,68.40,Y,
Bachelor of Information Technology,Casuarina or Online,590370,CSP,3F/EqP/D,N/A,Y,
Bachelor of Laws,Waterfront Darwin or Online,590381,CSP,3F/EqP/D,N/A,Y,
Bachelor of Medical Laboratory Science Honours,Casuarina,590740,CSP,4F/8P,N/A,Y,
Bachelor of Psychological Science,Casuarina or Online,590560,CSP,3F/EqP/D,66.00,Y,
Bachelor of Public Health,Casuarina or Online,590420,CSP,3F/EqP/D,N/A,Y,
Bachelor of Science,Casuarina or Online,590570,CSP,3F/EqP/D,77.95,Y,
Bachelor of Social Work,Casuarina or Online,590440,CSP,4F/EqP/D,N/A,Y,
Bachelor of Software Engineering Honours,Casuarina or Online,590120,CSP,4F/EqP/D,N/A,Y,
Diploma of Alcohol and Other Drugs Practice,Casuarina or Online,591200,CSP,1F/EqP/D,N/A,Y,
Diploma of Arts,Casuarina or Online,591130,CSP,1F/EqP/D,N/A,Y,
Diploma of Counselling,Casuarina or Online,591170,CSP,1F/EqP/D,N/A,Y,
Diploma of Digital Enterprise,Waterfront Darwin or Online,591141,CSP,1F/EqP/D,N/A,Y,
